Temps (s),Echelon (V),DeltaV (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C),Courant (V)
150.97811007499695,0.674,1.012,1.891,37.063,1.72,40.709,1.427,47.828,3.392
151.58478999137878,0.67,1.026,1.891,37.063,1.72,40.709,1.422,47.953,3.392
152.19148206710815,0.674,1.017,1.891,37.063,1.716,40.817,1.422,47.953,3.387
152.7981939315796,0.67,1.026,1.891,37.063,1.716,40.817,1.422,47.953,3.387
153.40486478805542,0.665,1.031,1.887,37.165,1.716,40.817,1.422,47.953,3.392
154.01150488853455,0.674,1.012,1.887,37.165,1.716,40.817,1.422,47.953,3.387
154.6181879043579,0.67,1.026,1.887,37.165,1.711,40.925,1.422,47.953,3.387
155.22506618499756,0.67,1.026,1.882,37.267,1.711,40.925,1.417,48.078,3.387
155.83153700828552,0.67,1.026,1.882,37.267,1.711,40.925,1.417,48.078,3.387
156.43828797340393,0.674,1.012,1.877,37.369,1.706,41.034,1.417,48.078,3.387
157.04483294487,0.67,1.026,1.877,37.369,1.706,41.034,1.413,48.203,3.382
157.65161800384521,0.67,1.026,1.877,37.369,1.706,41.034,1.413,48.203,3.392
158.25836491584778,0.67,1.056,1.872,37.471,1.701,41.143,1.413,48.203,3.382
158.86497497558594,0.67,1.031,1.872,37.471,1.701,41.143,1.408,48.329,3.382
159.47169399261475,0.665,1.031,1.872,37.471,1.701,41.143,1.408,48.329,3.387
160.07835507392883,0.674,1.017,1.872,37.471,1.696,41.252,1.408,48.329,3.387
160.6849889755249,0.67,1.031,1.872,37.471,1.696,41.252,1.408,48.329,3.377
161.29179096221924,0.67,1.017,1.867,37.573,1.696,41.252,1.408,48.329,3.382
161.89835786819458,0.67,1.026,1.867,37.573,1.691,41.361,1.403,48.454,3.382
162.50507497787476,0.67,1.026,1.867,37.573,1.691,41.361,1.403,48.454,3.382
163.11159682273865,0.67,1.026,1.862,37.676,1.691,41.361,1.398,48.581,3.382
163.7183129787445,0.67,1.026,1.862,37.676,1.686,41.47,1.398,48.581,3.377
164.32495188713074,0.67,1.026,1.862,37.676,1.686,41.47,1.393,48.707,3.377
164.93178296089172,0.67,1.017,1.857,37.778,1.686,41.47,1.393,48.707,3.382
165.538498878479,0.674,1.022,1.857,37.778,1.686,41.47,1.393,48.707,3.377
166.144779920578,0.67,1.022,1.857,37.778,1.681,41.58,1.393,48.707,3.382
166.75184798240662,0.665,1.031,1.852,37.881,1.681,41.58,1.388,48.834,3.382
167.3584270477295,0.67,1.026,1.852,37.881,1.681,41.58,1.388,48.834,3.387
167.96517896652222,0.665,1.031,1.852,37.881,1.676,41.69,1.388,48.834,3.377
168.5717010498047,0.674,1.022,1.848,37.984,1.676,41.69,1.388,48.834,3.387
169.17844104766846,0.67,1.031,1.848,37.984,1.672,41.8,1.388,48.834,3.382
169.78509187698364,0.674,1.017,1.843,38.087,1.672,41.8,1.383,48.962,3.382
170.39193606376648,0.67,1.026,1.843,38.087,1.667,41.91,1.383,48.962,3.377
170.99845004081726,0.67,1.031,1.838,38.19,1.667,41.91,1.383,48.962,3.387
171.60516214370728,0.67,1.031,1.838,38.19,1.667,41.91,1.383,48.962,3.377
172.21189212799072,0.67,1.031,1.833,38.294,1.662,42.021,1.383,48.962,3.387
172.81850409507751,0.67,1.022,1.833,38.294,1.662,42.021,1.378,49.089,3.387
173.42530584335327,0.67,1.031,1.828,38.398,1.657,42.132,1.378,49.089,3.387
174.03184294700623,0.665,1.036,1.828,38.398,1.657,42.132,1.378,49.089,3.382
174.63849997520447,0.67,1.031,1.823,38.501,1.657,42.132,1.378,49.089,3.377
175.24528002738953,0.67,1.031,1.823,38.501,1.657,42.132,1.373,49.217,3.387
175.85192894935608,0.67,1.031,1.823,38.501,1.652,42.243,1.373,49.217,3.382
176.4583809375763,0.67,1.031,1.818,38.605,1.652,42.243,1.373,49.217,3.382
177.06526803970337,0.67,1.026,1.818,38.605,1.652,42.243,1.369,49.346,3.377
177.67195892333984,0.67,1.022,1.818,38.605,1.647,42.354,1.369,49.346,3.382
178.27866792678833,0.67,1.036,1.813,38.71,1.647,42.354,1.369,49.346,3.382
178.88533806800842,0.665,1.036,1.813,38.71,1.647,42.354,1.369,49.346,3.387
179.4920790195465,0.67,1.036,1.813,38.71,1.642,42.465,1.369,49.346,3.372
180.09865617752075,0.67,1.031,1.813,38.71,1.642,42.465,1.364,49.475,3.382
180.70534682273865,0.674,1.031,1.808,38.814,1.642,42.465,1.364,49.475,3.377
181.3120059967041,0.665,1.036,1.808,38.814,1.642,42.465,1.364,49.475,3.387
181.91872000694275,0.67,1.036,1.808,38.814,1.637,42.577,1.359,49.604,3.382
182.52553510665894,0.67,1.031,1.804,38.919,1.637,42.577,1.359,49.604,3.382
183.13206005096436,0.66,1.041,1.804,38.919,1.632,42.689,1.359,49.604,3.382
183.73874187469482,0.665,1.041,1.799,39.023,1.632,42.689,1.359,49.604,3.382
184.3454349040985,0.67,1.022,1.799,39.023,1.632,42.689,1.359,49.604,3.377
184.9521129131317,0.66,1.041,1.799,39.023,1.628,42.801,1.354,49.733,3.382
185.5589029788971,0.665,1.041,1.794,39.128,1.628,42.801,1.354,49.733,3.377
186.16535997390747,0.67,1.031,1.794,39.128,1.628,42.801,1.354,49.733,3.377
186.77220106124878,0.67,1.026,1.794,39.128,1.623,42.914,1.349,49.863,3.372
187.37890100479126,0.67,1.036,1.789,39.234,1.623,42.914,1.349,49.863,3.377
187.98555207252502,0.665,1.036,1.789,39.234,1.623,42.914,1.349,49.863,3.387
